date,avg_temp
10/1/1993,9.944
11/1/1993,5.169
12/1/1993,-0.749
1/1/1994,-7.184
2/1/1994,-4.287
3/1/1994,2.148
4/1/1994,10.698
5/1/1994,14.451
6/1/1994,21.641
7/1/1994,24.182
8/1/1994,20.735
9/1/1994,17.079
10/1/1994,10.669
11/1/1994,7.813
12/1/1994,1.999
1/1/1995,0.214
2/1/1995,-3.47
3/1/1995,5.229
4/1/1995,8.455
5/1/1995,14.357
6/1/1995,20.644
7/1/1995,23.823
8/1/1995,22.905
9/1/1995,17.142
10/1/1995,13.247
11/1/1995,3.326
12/1/1995,-3.035
1/1/1996,-3.877
2/1/1996,-1.794
3/1/1996,1.387
4/1/1996,9.26
5/1/1996,14.233
6/1/1996,20.603
7/1/1996,21.471
8/1/1996,21.859
9/1/1996,17.994
10/1/1996,11.114
11/1/1996,3.399
12/1/1996,2.036
1/1/1997,-3.037
2/1/1997,1.681
3/1/1997,3.414
4/1/1997,8.371
5/1/1997,13.381
6/1/1997,19.944
7/1/1997,22.547
8/1/1997,21.017
9/1/1997,17.057
10/1/1997,10.994
11/1/1997,4.103
12/1/1997,0.573
1/1/1998,1.711
2/1/1998,2.483
3/1/1998,5.169
4/1/1998,10.401
5/1/1998,17.256
6/1/1998,19.49
7/1/1998,22.706
8/1/1998,22.85
9/1/1998,18.947
10/1/1998,11.855
11/1/1998,5.983
12/1/1998,3.036
1/1/1999,-1.952
2/1/1999,0.429
3/1/1999,3.306
4/1/1999,9.661
5/1/1999,15.611
6/1/1999,21.254
7/1/1999,25.065
8/1/1999,22.206
9/1/1999,18.818
10/1/1999,10.438
11/1/1999,7.818
12/1/1999,1.297
1/1/2000,-3.168
2/1/2000,-0.162
3/1/2000,6.391
4/1/2000,8.897
5/1/2000,15.944
6/1/2000,20.234
7/1/2000,20.727
8/1/2000,20.791
9/1/2000,17.095
10/1/2000,11.323
11/1/2000,4.913
12/1/2000,-3.356
1/1/2001,-2.814
2/1/2001,-0.442
3/1/2001,1.884
4/1/2001,9.92
5/1/2001,16.014
6/1/2001,20.907
7/1/2001,21.045
8/1/2001,23.507
9/1/2001,17.474
10/1/2001,11.99
11/1/2001,8.212
12/1/2001,3.475
1/1/2002,1.252
2/1/2002,2.126
3/1/2002,4.677
4/1/2002,11.125
5/1/2002,14.171
6/1/2002,20.623
7/1/2002,23.931
8/1/2002,23.558
9/1/2002,19.125
10/1/2002,10.446
11/1/2002,4.945
12/1/2002,-0.953
1/1/2003,-5.223
2/1/2003,-3.786
3/1/2003,3.526
4/1/2003,8.185
5/1/2003,13.817
6/1/2003,18.96
7/1/2003,22.864
8/1/2003,23.243
9/1/2003,18.262
10/1/2003,10.202
11/1/2003,7.603
12/1/2003,0.379
1/1/2004,-6.325
2/1/2004,-1.332
3/1/2004,4.525
4/1/2004,10.057
5/1/2004,17.8
6/1/2004,19.761
7/1/2004,21.946
8/1/2004,21.771
9/1/2004,18.843
10/1/2004,10.96
11/1/2004,6.682
12/1/2004,-0.014
1/1/2005,-3.611
2/1/2005,-0.609
3/1/2005,1.125
4/1/2005,10.633
5/1/2005,13.267
6/1/2005,22.169
7/1/2005,23.704
8/1/2005,23.941
9/1/2005,20.238
10/1/2005,12.058
11/1/2005,7.019
12/1/2005,-1.757
1/1/2006,1.608
2/1/2006,-0.565
3/1/2006,3.776
4/1/2006,10.709
5/1/2006,15.637
6/1/2006,20.445
7/1/2006,24.165
8/1/2006,22.42
9/1/2006,16.946
10/1/2006,10.811
11/1/2006,8.418
12/1/2006,3.861
1/1/2007,0.412
2/1/2007,-4.713
3/1/2007,2.947
4/1/2007,8.02
5/1/2007,16.677
6/1/2007,20.868
7/1/2007,22.295
8/1/2007,22.063
9/1/2007,19
10/1/2007,15.222
11/1/2007,4.831
12/1/2007,-0.094
1/1/2008,-0.573
2/1/2008,-0.675
3/1/2008,3.47
4/1/2008,10.943
5/1/2008,13.64
6/1/2008,21.831
7/1/2008,23.693
8/1/2008,20.887
9/1/2008,18.676
10/1/2008,10.348
11/1/2008,5.133
12/1/2008,0.327
1/1/2009,-5.36
2/1/2009,-0.372
3/1/2009,3.579
4/1/2009,10.478
5/1/2009,15.447
6/1/2009,19.058
7/1/2009,21.103
8/1/2009,22.769
9/1/2009,17.043
10/1/2009,10.364
11/1/2009,8.217
12/1/2009,-0.624
1/1/2010,-2.359
2/1/2010,-1.456
3/1/2010,6.715
4/1/2010,12.076
5/1/2010,17.119
6/1/2010,21.943
7/1/2010,24.789
8/1/2010,22.67
9/1/2010,19.172
10/1/2010,11.911
11/1/2010,5.876
12/1/2010,-2.165
1/1/2011,-4.463
2/1/2011,-1.244
3/1/2011,3.474
4/1/2011,10.555
5/1/2011,16.917
6/1/2011,21.032
7/1/2011,24.564
